cow,bull,combined_count,score
L44 ,1278J,13,13
M12 ,4454M,13,13
L58 ,1278J,12,12
D19 ,1278J,11,11
F81 ,1278J,11,11
G29 ,1278J,11,11
H42 ,1278J,11,11
J10 ,1278J,11,11
J65 ,1278J,11,11
K32 ,1278J,11,11
K59 ,4454M,11,11
K68 ,1278J,11,11
K65 ,1278J,11,11
L12 ,1278J,11,11
L78 ,1278J,11,11
M37 ,1278J,11,11
M50 ,D172,11,11
M01 ,4454M,11,11
C19 ,4454M,10,10
C28 ,8269,10,10
D23 ,4454M,10,10
E30 ,4454M,10,10
F19 ,D172,10,10
G35 ,4454M,10,10
H11 ,Z124G,10,10
H61 ,Z124G,10,10
J76 ,4454M,10,10
J33 ,4454M,10,10
J45 ,4454M,10,10
J27 ,1278J,10,10
K60 ,1278J,10,10
K51 ,4454M,10,10
K21 ,4454M,10,10
K25 ,4454M,10,10
K82 ,4454M,10,10
K40 ,1278J,10,10
L28 ,1278J,10,10
L29 ,4454M,10,10
L56 ,4454M,10,10
L60 ,4454M,10,10
L61 ,1278J,10,10
L64 ,D172,10,10
L94 ,1278J,10,10
M13 ,1278J,10,10
M38 ,J490,10,10
M42 ,1181J,10,10
M64 ,D172,10,10
M02 ,1278J,10,10
C66 ,4454M,9,9
F83 ,4454M,9,9
G34 ,Z124G,9,9
H15 ,4454M,9,9
H70 ,8269,9,9
J04 ,D172,9,9
J41 ,D172,9,9
K75 ,4454M,9,9
K67 ,4454M,9,9
K05 ,1181J,9,9
K34 ,1278J,9,9
L06 ,D172,9,9
L09 ,D172,9,9
L22 ,4454M,9,9
L32 ,1181J,9,9
L63 ,1181J,9,9
L70 ,1278J,9,9
M56 ,1181J,9,9
M65 ,J490,9,9
M57 ,1181J,9,9
M35 ,J490,9,9
M78 ,D172,9,9
L10 ,Z124G,8,8
C14 ,8269,8,8
C47 ,1278J,8,8
C17 ,Z124G,8,8
D10 ,J490,8,8
F08 ,1181J,8,8
G10 ,Z124G,8,8
G11 ,D172,8,8
G60 ,J490,8,8
G65 ,8269,8,8
J03 ,D172,8,8
J51 ,J490,8,8
J40 ,J490,8,8
J11 ,D172,8,8
J05 ,1181J,8,8
K43 ,4454M,8,8
K38B ,1181J,8,8
K86 ,1278J,8,8
K69 ,1181J,8,8
K11 ,D172,8,8
K14 ,D172,8,8
L31 ,4454M,8,8
L49 ,1181J,8,8
M59 ,D172,8,8
M60 ,J490,8,8
M17 ,1181J,8,8
D29 ,8269,7,7
E29 ,8269,7,7
E59 ,8269,7,7
F21 ,Z124G,7,7
F79 ,J490,7,7
G22 ,J490,7,7
G25 ,J490,7,7
G09 ,1181J,7,7
H50 ,1181J,7,7
H62 ,1181J,7,7
H26 ,J490,7,7
H44 ,J490,7,7
J61 ,J490,7,7
J46 ,D172,7,7
K04B ,1181J,7,7
K56 ,Z124G,7,7
K30 ,1181J,7,7
K87 ,4454M,7,7
K52 ,J490,7,7
L33 ,1181J,7,7
M86 ,8269,7,7
M62 ,D172,7,7
M45 ,D172,7,7
M83 ,D172,7,7
C16 ,J490,6,6
G07 ,J490,6,6
H59 ,1181J,6,6
H31 ,J490,6,6
K72 ,J490,6,6
L20 ,D172,6,6
L66 ,1181J,6,6
L73 ,J490,6,6
L88 ,J490,6,6
F06 ,J490,5,5
H37 ,J490,5,5
H86 ,J490,5,5
J80 ,J490,5,5
